	count	lat	lon	name	state
0	34	30.4019444444444	-88.9177777777778	Biloxi, Keesler Air Force Base, Navu	MS
1	4	31.1333333333333	-92.5666666666667	Claiborne Range, Airways Facilities Sector 	LA
2	0	28.1333333333333	-94.4	High Island	LA
3	4	48.7833333333333	-96.95	Hallock	MN
4	8	38.09722222222221	-106.16861111111099	Saguache, Saguache Municipal Airport	CO
5	12	31.421111111111102	-97.7969444444444	Gatesville, City-County Airport	TX
6	57	42.574444444444396	-84.8113888888889	Charlotte, Fitch H Beach Airport	MI
7	76	47.9741666666667	-117.428333333333	Deer Park, Deer Park Airport	WA
8	140	43.3333333333333	-70.4	Goat Island Remote Automatic Meteorological Observing System 	ME
9	66	42.3508333333333	-86.25611111111108	South Haven, South Haven Area Regional Airport	MI
10	58	34.2333333333333	-111.333333333333	Payson	AZ
11	22	31.0425	-86.3116666666667	Florala, Florala Municipal Airport	AL
12	290	34.0166666666667	-118.816666666667	Zuma Beach	CA
13	10	43.7330555555556	-103.61138888888901	Custer, Custer County Airport	SD
14	24	37.933333333333294	-75.3833333333333	Chincoteague	VA
15	22	44.7833333333333	-87.3166666666667	Sturgeon Bay	WI
16	9	31.396944444444397	-84.895	Blakely, Early County Airport	GA
17	70	30.2188888888889	-96.3741666666667	Brenham, Brenham Municipal Airport	TX
18	204	43.116666666666696	-70.4833333333333	New Castles Coast Guard Light Station	NH
19	121	41.8930555555556	-89.0783333333333	Rochelle, Rochelle Municipal-Koritz Field Airport	IL
20	362	41.0088888888889	-74.7366666666667	Andover, Aeroflex-Andover Airport	NJ
21	58	31.4166666666667	-110.85	Nogales Automatic Meteorological Observing System	AZ
22	160	43.2666666666667	-79.0666666666667	Niagara Coast Guard Station	NY
23	29	44.15	-68.25	Great Duck Island Coast Guard Light Station	ME
24	10	44.633333333333304	-86.25	Frankfort Coast Guard Station	MI
25	30	30.5152777777778	-96.70388888888891	Caldwell, Caldwell Municipal Airport	TX
26	77	43.65	-70.0333333333333	Halfway Rock Coast Guard Light Station	ME
