name,address,zip,city,state,paid id,longitude,latitude,neighborhood,regionid
Hwy 151 Self Storage,Capital Drive Madison WI 53711,53711,Madison,WI,,-89.483018,43.082442,Highlands Community,343536
Hwy 151 Self Storage,Capital Drive Madison WI 53711,53711,Madison,WI,,-89.483018,43.082442,Spring Harbor,343532
Lincoln Warehouse CO,2018 South 1st Street Milwaukee WI 53207-1102,53207-1102,Milwaukee,WI,,-87.91117,43.008239,Clock Tower Acres,272070
KK Storage,1745 South Kinnickinnic Avenue Milwaukee WI 53204-4026,53204-4026,Milwaukee,WI,,-87.910182,43.01171,Clock Tower Acres,272070
Goodhope Manor Milwaukee LLC,7070 North 124th Street Milwaukee WI 53224-4206,53224-4206,Milwaukee,WI,,-88.064399,43.1459,Mill Valley,272181
East Towne Storage Center,1402 Parkside Dr Madison WI 53704,53704,Madison,WI,65342,-89.316563,43.118129,Hawthorne,343522
North Shore Self Storage,4390 North Richards Street Milwaukee WI 53212-1016,53212-1016,Milwaukee,WI,,-87.907101,43.09608,Estabrook Park,272092
East Side Stor-Mor,4150 North Lydell Street Milwaukee WI 53212-1018,53212-1018,Milwaukee,WI,,-87.910474,43.093754,Estabrook Park,272092
J T & T Inc,532 E Capitol Drive Milwaukee WI 53212-1372,53212-1372,Milwaukee,WI,,-87.904365,43.089288,Estabrook Park,272092
Wisconsin Portable Storage LLC,445 West Oklahoma Avenue Milwaukee WI 53207-2665,53207-2665,Milwaukee,WI,,-87.916963,42.987457,Polonia,275066
U.Store.It,2922 South 5th Court Milwaukee WI 53207,53207,Milwaukee,WI,63443,-87.916558,42.992119,Polonia,275066
U-Store-It South 5th Court,2922 South 5th Court Milwaukee WI 53207,53207,Milwaukee,WI,63443,-87.91474,42.991857,Polonia,275066
Eagle Moving And Storage Co,161 North 88th Street Milwaukee WI 53226-4613,53226-4613,Milwaukee,WI,,-88.021899,43.032894,Cannon Park,272059
Carl's Boat & Recreational Vehicle Storage Llc,12430 Macey Way San Antonio TX 78253-5289,78253-5289,San Antonio,TX,,-98.739732,29.4339,Villages Of Westcreek,271626
Pioneer Rv & Boat Storage,11509 Fm 1957 San Antonio TX 78253-9230,78253-9230,San Antonio,TX,,-98.71983,29.433577,Villages Of Westcreek,271626
Bilco Trailers Inc,9120 North 107th Street Milwaukee WI 53224-1509,53224-1509,Milwaukee,WI,,-88.043999,43.183186,North Granville,272200
Pit Stop Car Wash & Storage,8805 North 107th Street Milwaukee WI 53224-1502,53224-1502,Milwaukee,WI,,-88.044199,43.177529,North Granville,272200
East Towne Storage Center,2002 Atwood Avenue Suite 212 Madison WI 53704-5382,53704-5382,Madison,WI,65342,-89.355045,43.092112,Marquette,343528
Madison Isthmus Mini Storage,202 South Baldwin Street Madison WI 53703-3017,53703-3017,Madison,WI,,-89.364085,43.08569,Marquette,343528
O'Mara Moving Systems Inc,2010 Pennsylvania Avenue Madison WI 53704-4746,53704-4746,Madison,WI,,-89.360468,43.096373,Marquette,343528
Reynolds Transfer & Storage Inc,725 E Mifflin Street Madison WI 53703-2342,53703-2342,Madison,WI,,-89.377644,43.080929,Marquette,343528
C H & E MFG CO,3800 North 1st Street Milwaukee WI 53212-1235,53212-1235,Milwaukee,WI,,-87.910799,43.0871,Williamsburg,272305
Aberg Mini Warehouses,1909 Aberg Avenue Madison WI 53704-4203,53704-4203,Madison,WI,,-89.359017,43.1142,Sherman,272243
J & T Upholstery Inc,1223 South 23rd Street Milwaukee WI 53204-1900,53204-1900,Milwaukee,WI,,-87.942199,43.01877,Clarke Square,272068
National Warehouse Corporation,531 South Water Street Milwaukee WI 53204-1668,53204-1668,Milwaukee,WI,,-87.904673,43.0256,Harbor View,272118
KK Storage,1745 South Kinnickinnic Avenue Milwaukee WI 53204-4026,53204-4026,Milwaukee,WI,,-87.910182,43.01171,Harbor View,272118
Water Street Self Storage,412 S Water St Milwaukee WI 53204,53204,Milwaukee,WI,65343,-87.905567,43.026883,Harbor View,272118
Rock Transfer & Storage,130 West Edgerton Avenue Milwaukee WI 53207-6021,53207-6021,Milwaukee,WI,,-87.910387,42.9519,Mitchell Field,272184
Hwy 151 Self Storage,Capital Drive Madison WI 53711,53711,Madison,WI,,-89.483018,43.082442,Old Middleton Greenway,343578
Cottage Grove Storage Units,3321 Commercial Avenue Madison WI 53714-1464,53714-1464,Madison,WI,,-89.33174,43.1062,Worthington Park,272309
Stock-N-Lock,251 North Fair Oaks Avenue Madison WI 53714-1641,53714-1641,Madison,WI,,-89.330915,43.10197,Worthington Park,272309
Alton Enterprises LLC,2625 South Greeley Street Milwaukee WI 53207-2027,53207-2027,Milwaukee,WI,,-87.909288,42.996075,Bay View,272876
Lincoln Warehouse CO,2018 South 1st Street Milwaukee WI 53207-1102,53207-1102,Milwaukee,WI,,-87.91117,43.008239,Bay View,272876
KK Storage,1745 South Kinnickinnic Avenue Milwaukee WI 53204-4026,53204-4026,Milwaukee,WI,,-87.910182,43.01171,Bay View,272876
U-Store-It South 5th Court,2922 South 5th Court Milwaukee WI 53207,53207,Milwaukee,WI,63443,-87.91474,42.991857,Bay View,272876
Abc Kortsch Moving & Storage Co,2403 North Maryland Avenue Milwaukee WI 53211-4439,53211-4439,Milwaukee,WI,,-87.883099,43.061975,Lake Park,272148
East Bank Storage - Prospect,2136 N Prospect Ave Milwaukee WI 53202,53202,Milwaukee,WI,68197,-87.886014,43.057717,Lake Park,272148
E-Z Self Storage,143 West Saint Paul Avenue Milwaukee WI 53203-3109,53203-3109,Milwaukee,WI,,-87.912604,43.0347,Menomonee River Valley,272176
E-Z Self Storage,1201 West Canal Street Milwaukee WI 53233,53233,Milwaukee,WI,,-87.925015,43.031404,Menomonee River Valley,272176
Silver Spring Self Storage Inc,12000 West Silver Spring Drive Milwaukee WI 53225-2905,53225-2905,Milwaukee,WI,,-88.061468,43.117081,Timmerman West,272270
Bestway Transfer & Storage Inc,701 West Cleveland Avenue Milwaukee WI 53215-3415,53215-3415,Milwaukee,WI,,-87.92011,42.9956,Lincoln Village,272156
Vokot Inc.,2123 West Michigan Street Milwaukee WI 53233-1907,53233-1907,Milwaukee,WI,,-87.939568,43.0375,Avenues West,272037
Martens Reliable Hardware,8010 NORTH 76TH STREET MILWAUKEE WI 53223-3202,53223-3202,MILWAUKEE,WI,,-88.004499,43.163342,Granville Woods,272109
Martens Reliable Hardware,8010 NORTH 76TH STREET MILWAUKEE WI 53223-3202,53223-3202,MILWAUKEE,WI,,-88.004499,43.163342,Land Bank,272150
Storsafe Mini Storage Center,7825 West Tower Avenue Milwaukee WI 53223-3211,53223-3211,Milwaukee,WI,,-88.007412,43.1652,Land Bank,272150
West Washington Self Storage,615 West Washington Avenue Madison WI 53703-2637,53703-2637,Madison,WI,,-89.39305,43.068503,Capitol,272060
Reynolds Transfer & Storage Inc,725 E Mifflin Street Madison WI 53703-2342,53703-2342,Madison,WI,,-89.377644,43.080929,Capitol,272060
Rock Transfer & Storage,130 West Edgerton Avenue Milwaukee WI 53207-6021,53207-6021,Milwaukee,WI,,-87.910387,42.9519,Mitchell West,272186
E-Z Self Storage,143 West Saint Paul Avenue Milwaukee WI 53203-3109,53203-3109,Milwaukee,WI,,-87.912604,43.0347,Kilbourn Town,272144
East Towne Storage Center,2002 Atwood Avenue Suite 212 Madison WI 53704-5382,53704-5382,Madison,WI,65342,-89.355045,43.092112,Emerson East,343524
Penn Group,2510 Pennsylvania Avenue Madison WI 53704-4756,53704-4756,Madison,WI,,-89.358156,43.105458,Emerson East,343524
O'Mara Moving Systems Inc,2430 Pennsylvania Avenue Madison WI 53704-4754,53704-4754,Madison,WI,,-89.358478,43.104252,Emerson East,343524
O'Mara Moving Systems Inc,2010 Pennsylvania Avenue Madison WI 53704-4746,53704-4746,Madison,WI,,-89.360468,43.096373,Emerson East,343524
T & J Rental Agency,2936 North 1st Street Milwaukee WI 53212-2406,53212-2406,Milwaukee,WI,,-87.910999,43.071855,Harambee,272117
East Bank Storage - Prospect,2136 N Prospect Ave Milwaukee WI 53202,53202,Milwaukee,WI,68197,-87.886014,43.057717,Lower East Side,272160
Abc Kortsch Moving & Storage Co,2403 North Maryland Avenue Milwaukee WI 53211-4439,53211-4439,Milwaukee,WI,,-87.883099,43.061975,Northpoint,272203
East Bank Storage - Prospect,2136 N Prospect Ave Milwaukee WI 53202,53202,Milwaukee,WI,68197,-87.886014,43.057717,Northpoint,272203
Verona Road Self Storage,313 Price Place Suite 114 Madison WI 53705-3262,53705-3262,Madison,WI,,-89.452399,43.069736,Sunset Village,272263
Pit Stop Car Wash & Storage,8805 North 107th Street Milwaukee WI 53224-1502,53224-1502,Milwaukee,WI,,-88.044199,43.177529,Granville Station,272108
Rimrock Self Storage,2524 Rimrock Road Fitchburg WI 53713-2741,53713-2741,Fitchburg,WI,,-89.380183,43.03464,Moorland-Rimrock,272187
Schmidt Moving & Storage CO Inc,7528 North Teutonia Avenue Milwaukee WI 53209-2010,53209-2010,Milwaukee,WI,,-87.95854,43.154633,Brown Deer Park,272051
Rock Transfer & Storage,1500 West Zellman Court Milwaukee WI 53221-5252,53221-5252,Milwaukee,WI,,-87.931736,42.9252,College Heights,272072
National Warehouse Corporation,531 South Water Street Milwaukee WI 53204-1668,53204-1668,Milwaukee,WI,,-87.904673,43.0256,Historic Third Ward,272133
Water Street Self Storage,412 S Water St Milwaukee WI 53204,53204,Milwaukee,WI,65343,-87.905567,43.026883,Historic Third Ward,272133
Rock Transfer & Storage,130 West Edgerton Avenue Milwaukee WI 53207-6021,53207-6021,Milwaukee,WI,,-87.910387,42.9519,Holler Park,272134
Wisconsin Portable Storage LLC,445 West Oklahoma Avenue Milwaukee WI 53207-2665,53207-2665,Milwaukee,WI,,-87.916963,42.987457,Morgandale,272189
Green Bay Avenue Self Storage,4565 North Green Bay Avenue Milwaukee WI 53209-6518,53209-6518,Milwaukee,WI,28362,-87.92882,43.099742,Rufus King,272235
Green Bay Avenue Self Storage,4565 N Green Bay Ave Milwaukee WI 53209,53209,Milwaukee,WI,28362,-87.92896,43.099767,Rufus King,272235
East Bank Storage - 3rd Street,2025 N Dr Martin Luther King Dr Milwaukee WI 53212,53212,Milwaukee,WI,68196,-87.914204,43.057037,Halyard Park,272115
Hernia Movers Inc,3210 North Pierce Street Milwaukee WI 53212-2146,53212-2146,Milwaukee,WI,,-87.902689,43.076782,Riverwest,272230
Sitterly Moving & Storage,270 Liberty Street Springfield MA 01104-3706,01104-3706,Springfield,MA,,-72.589469,42.111209,Liberty Heights,154868
A Ala Moana Storage,407A Coral Street Honolulu HI 96813-5142,96813-5142,Honolulu,HI,,-157.8605,21.298171,Ala Moana-Kakaako,272733
A Quik-Stor Of Hawaii,1227 Lunalilo Street Honolulu HI 96822-4008,96822-4008,Honolulu,HI,,-157.841723,21.303443,Ala Moana-Kakaako,272733
Makiki Self Storage,1449 South Beretania Street Honolulu HI 96814-1866,96814-1866,Honolulu,HI,,-157.838302,21.299842,Ala Moana-Kakaako,272733
StorQuest Self Storage,1414 Kalakaua Avenue Honolulu HI 96826-1910,96826-1910,Honolulu,HI,,-157.836913,21.298073,Ala Moana-Kakaako,272733
A Storage Castle,868 Queen Street Honolulu HI 96813-5204,96813-5204,Honolulu,HI,,-157.855211,21.298612,Ala Moana-Kakaako,272733
StorQuest Self Storage Kaka'ako,850 Kawaiahao St Honolulu HI 96813-5259,96813-5259,Honolulu,HI,,-157.854781,21.299249,Ala Moana-Kakaako,272733
Ala Moana Self Storage,438 Kamakee St Honolulu HI 96814,96814,Honolulu,HI,28549,-157.851081,21.295238,Ala Moana-Kakaako,272733
StorQuest Self Storage - Honolulu - King St.,1414 Kalakaua Ave Honolulu HI 96826,96826,Honolulu,HI,33464,-157.836731,21.298052,Ala Moana-Kakaako,272733
A-American Self Storage - Honolulu,720 South St Honolulu HI 96813,96813,Honolulu,HI,33817,-157.857934,21.302655,Ala Moana-Kakaako,272733
East Towne Storage Center,1402 Parkside Dr Madison WI 53704,53704,Madison,WI,65342,-89.316563,43.118129,Mayfair Park,343518
Green Bay Avenue Self Storage,4565 North Green Bay Avenue Milwaukee WI 53209-6518,53209-6518,Milwaukee,WI,28362,-87.92882,43.099742,Lincoln Park,272155
Green Bay Avenue Self Storage,4565 N Green Bay Ave Milwaukee WI 53209,53209,Milwaukee,WI,28362,-87.92896,43.099767,Lincoln Park,272155
AAA Secure Storage,713 Walsh Road Madison WI 53714-1372,53714-1372,Madison,WI,,-89.309999,43.106929,Burke Heights,272054
Stuff-N-Store,4301 Nakoosa Trail Madison WI 53714-1319,53714-1319,Madison,WI,62913,-89.309877,43.1102,Burke Heights,272054
Nakoosa Trail Self Storage,4301 Nakoosa Trl Madison WI 53714,53714,Madison,WI,62913,-89.30961,43.110027,Burke Heights,272054
Atlanta Storage Partners,2970 Peachtree Road Northwest Atlanta GA 30305-2192,30305-2192,Atlanta,GA,,-84.381806,33.836182,Buckhead,127460
Truck and I,1401 Hills Place Northwest Atlanta GA 30318-2820,30318-2820,Atlanta,GA,,-84.433742,33.812073,Buckhead,127460
Atlanta's Your Extra Attic,2115 Monroe Drive Northeast Atlanta GA 30324-4832,30324-4832,Atlanta,GA,66077,-84.370973,33.810604,Buckhead,127460
USA Self Storage,1244 Collier Road Northwest Atlanta GA 30318-2302,30318-2302,Atlanta,GA,,-84.427878,33.81194,Buckhead,127460
Extra Space Storage,2489 Cheshire Bridge Rd NE Atlanta GA 30324,30324,Atlanta,GA,68757,-84.350582,33.822249,Buckhead,127460
Boxt Containers,1 Main St NE Atlanta GA 30324,30324,Atlanta,GA,,-84.370415,33.822615,Buckhead,127460
Extra Space Storage,2489 Cheshire Bridge Rd Ne Atlanta GA 30324,30324,Atlanta,GA,68757,-84.351491,33.822655,Buckhead,127460
Pack Rat Self Storage,1573 Athens Avenue Southwest Atlanta GA 30310-4701,30310-4701,Atlanta,GA,,-84.408899,33.71196,Buckhead,127460
Kennesaw Mini Warehouse,2775 Main Street Atlanta GA 30344-6934,30344-6934,Atlanta,GA,,-84.440165,33.679604,Buckhead,127460
Mcdonough-Henry Self-Storage,230 McDonough Boulevard Southeast Atlanta GA 30315-2321,30315-2321,Atlanta,GA,,-84.380418,33.717438,Buckhead,127460
A D S Allied Moving & Storage,1252 Oakleigh Drive Atlanta GA 30344-1823,30344-1823,Atlanta,GA,,-84.429151,33.690022,Buckhead,127460
Sykes Self Storage,1495 Willingham Drive Atlanta GA 30344-4851,30344-4851,Atlanta,GA,,-84.437477,33.668411,Buckhead,127460
Walker Street Mini Storage,165 Walker Street Southwest Atlanta GA 30313-1328,30313-1328,Atlanta,GA,,-84.401024,33.750075,Buckhead,127460
Storehouse Self Storage,1576 Davis Avenue Atlanta GA 30344-2521,30344-2521,Atlanta,GA,,-84.440135,33.688291,Buckhead,127460
I E S Trucking,1437 Moray St Sw Atlanta GA 30311-3511,30311-3511,Atlanta,GA,,-84.443873,33.716079,Buckhead,127460
A Action Storage & U-Haul Rentals,675 Metropolitan Parkway Southwest Atlanta GA 30310-2096,30310-2096,Atlanta,GA,,-84.408099,33.737056,Buckhead,127460
Mobile Storage Depot LLC,200 Kelly St Se Atlanta GA 30312,30312,Atlanta,GA,,-84.38044,33.746853,Buckhead,127460
Your Extra Attic Self Storage,2870 Forrest Hills Dr SW Atlanta GA 30315,30315,Atlanta,GA,,-84.399353,33.677345,Buckhead,127460
Your Extra Attic - North Airport,2866 Forrest Hills Drive Southwest Atlanta GA 30315-9025,30315-9025,Atlanta,GA,,-84.399359,33.677167,Buckhead,127460
Attic Your Extra - Acworth,5534 Highway 92 Atlanta GA 30303,30303,Atlanta,GA,,-84.38897,33.755418,Buckhead,127460
Extra Space Storage,2960 Lakewood Ave Atlanta GA 30344,30344,Atlanta,GA,68765,-84.415297,33.697165,Buckhead,127460
Extra Space Storage,2960 Lakewood Ave Atlanta GA 30344,30344,Atlanta,GA,68765,-84.415164,33.696981,Buckhead,127460
General Bonded Warehouse,567 North Avenue Northeast Atlanta GA 30308-2719,30308-2719,Atlanta,GA,,-84.368445,33.7712,Buckhead,127460
Dobbins Mini-Warehouses,1108 Chattahoochee Avenue Northwest Atlanta GA 30318-3706,30318-3706,Atlanta,GA,,-84.423779,33.801104,Buckhead,127460
Davis Et Fille Limited Antiques Warehouse,1155 Foster Street Northwest Atlanta GA 30318-4328,30318-4328,Atlanta,GA,,-84.414465,33.786281,Buckhead,127460
A Action Storage & U-Haul,1170 Howell Mill Road Northwest Atlanta GA 30318-5566,30318-5566,Atlanta,GA,,-84.411699,33.786215,Buckhead,127460
Champion Self Storage,1820 Marietta Blvd NW Atlanta GA 30318-2869,30318-2869,Atlanta,GA,63837,-84.436995,33.804556,Buckhead,127460
Extra Space Storage,600 Virginia Ave NE Atlanta GA 30306,30306,Atlanta,GA,68758,-84.367562,33.781261,Buckhead,127460
SpaceMax Storage,680 14th St NW Atlanta GA 30318-5446,30318-5446,Atlanta,GA,67695,-84.409135,33.786082,Buckhead,127460
Champion Self Storage - Atlanta,1820 Marietta Blvd Nw Atlanta GA 30318,30318,Atlanta,GA,64517,-84.43727,33.804898,Buckhead,127460
Metro Self Storage - Atlanta/Bankhead,647 Donald Lee Hollowell Pky Nw Atlanta GA 30318,30318,Atlanta,GA,63019,-84.409874,33.773269,Buckhead,127460
SpaceMax Storage - 14th St. / Midtown,680 14th St Nw Atlanta GA 30318,30318,Atlanta,GA,67695,-84.409082,33.785954,Buckhead,127460
Extra Space Storage,600 Virginia Ave Ne Atlanta GA 30306,30306,Atlanta,GA,68758,-84.367459,33.781457,Buckhead,127460
Showroom Services,3660 Browns Mill Road Southeast Atlanta GA 30354-2709,30354-2709,Atlanta,GA,,-84.387538,33.658956,Buckhead,127460
Atlanta Air Center,3401 Norman Berry Drive Atlanta GA 30344-5121,30344-5121,Atlanta,GA,,-84.428299,33.663079,Buckhead,127460
Your Extra Attic: Austell,1750 Oak Ridge Rd Atlanta GA 30303,30303,Atlanta,GA,,-84.418152,33.65818,Buckhead,127460
East Towne Storage Center,1402 Parkside Dr Madison WI 53704,53704,Madison,WI,65342,-89.316563,43.118129,Westchester Gardens,272295
Schmidt Moving & Storage CO Inc,7528 North Teutonia Avenue Milwaukee WI 53209-2010,53209-2010,Milwaukee,WI,,-87.95854,43.154633,Tripoli Park,272277
East Towne Storage Center,2002 Atwood Avenue Suite 212 Madison WI 53704-5382,53704-5382,Madison,WI,65342,-89.355045,43.092112,Schenk-Atwood,272239
True Our Brother's Keepers,2126 North 23rd Street Milwaukee WI 53205-1119,53205-1119,Milwaukee,WI,,-87.941299,43.058143,Midtown,272179
Madison Isthmus Mini Storage,202 South Baldwin Street Madison WI 53703-3017,53703-3017,Madison,WI,,-89.364085,43.08569,Tenney-Lapham,343530
Reynolds Transfer & Storage Inc,725 E Mifflin Street Madison WI 53703-2342,53703-2342,Madison,WI,,-89.377644,43.080929,Tenney-Lapham,343530
U Haul Storage of Good Hope,5701 West Good Hope Road Milwaukee WI 53223-4706,53223-4706,Milwaukee,WI,,-87.982504,43.1484,Wyrick Park,272311
Abc Kortsch Moving & Storage Co,2403 North Maryland Avenue Milwaukee WI 53211-4439,53211-4439,Milwaukee,WI,,-87.883099,43.061975,Murray Hill,272192
Milwaukee Intermodal Terminal,1225 South Carferry Drive Milwaukee WI 53207-1003,53207-1003,Milwaukee,WI,,-87.899539,43.01628,Jones' Island,272140
East Towne Storage Center,2002 Atwood Avenue Suite 212 Madison WI 53704-5382,53704-5382,Madison,WI,65342,-89.355045,43.092112,Schenk-Atwood-Starkweather-Yahar,343577
Penn Group,2510 Pennsylvania Avenue Madison WI 53704-4756,53704-4756,Madison,WI,,-89.358156,43.105458,Schenk-Atwood-Starkweather-Yahar,343577
Stock-N-Lock,251 North Fair Oaks Avenue Madison WI 53714-1641,53714-1641,Madison,WI,,-89.330915,43.10197,Schenk-Atwood-Starkweather-Yahar,343577
O'Mara Moving Systems Inc,2430 Pennsylvania Avenue Madison WI 53704-4754,53704-4754,Madison,WI,,-89.358478,43.104252,Schenk-Atwood-Starkweather-Yahar,343577
Portland Avenue Self Storage,1421 East 44th Street Tacoma WA 98404-3755,98404-3755,Tacoma,WA,62757,-122.409497,47.2172,Eastside-Enact,273587
Tacoma Moving & Storage,1616 East 26th Street Tacoma WA 98421-2602,98421-2602,Tacoma,WA,,-122.410544,47.240632,Eastside-Enact,273587
Tacoma Moving & Storage,1314 East 26th Street Tacoma WA 98421-2310,98421-2310,Tacoma,WA,,-122.415181,47.240171,Eastside-Enact,273587
Portland Ave. Self Storage,1421 E 44th St Tacoma WA 98404,98404,Tacoma,WA,62757,-122.409706,47.217717,Eastside-Enact,273587
Mcdonough-Henry Self-Storage,230 McDonough Boulevard Southeast Atlanta GA 30315-2321,30315-2321,Atlanta,GA,,-84.380418,33.717438,Lakewood Heights-Southeastern Atlanta,274258
Your Extra Attic Self Storage,2870 Forrest Hills Dr SW Atlanta GA 30315,30315,Atlanta,GA,,-84.399353,33.677345,Lakewood Heights-Southeastern Atlanta,274258
Your Extra Attic - North Airport,2866 Forrest Hills Drive Southwest Atlanta GA 30315-9025,30315-9025,Atlanta,GA,,-84.399359,33.677167,Lakewood Heights-Southeastern Atlanta,274258
Showroom Services,3660 Browns Mill Road Southeast Atlanta GA 30354-2709,30354-2709,Atlanta,GA,,-84.387538,33.658956,Lakewood Heights-Southeastern Atlanta,274258
Alpha Sports Warehouse,1831 Old Savannah Road Augusta GA 30901-3729,30901-3729,Augusta,GA,,-81.98591,33.451591,Industrial District,274093
CSRA Warehouse,496 Laney Walker Boulevard Augusta GA 30901-2429,30901-2429,Augusta,GA,,-81.960255,33.458858,Industrial District,274093
Agent For Mayflower Transit H & S Transfer Co,1240 Gordon Park Road Augusta GA 30901-3830,30901-3830,Augusta,GA,,-81.972291,33.455008,Industrial District,274093
Southside Mini Warehouse,3868 Mike Padgett Highway Augusta GA 30906-9722,30906-9722,Augusta,GA,,-81.985603,33.355705,Industrial District,274093
CRL Warehouse and Logistics CO,2340 Doug Barnard Parkway Augusta GA 30906-9288,30906-9288,Augusta,GA,,-81.972535,33.365479,Industrial District,274093
Covenant Storage,1611 Nixon Road Augusta GA 30906-2123,30906-2123,Augusta,GA,,-81.992849,33.423999,Industrial District,274093
All-Heated Storage,1305 East Maple Street Bellingham WA 98225-5703,98225-5703,Bellingham,WA,,-122.469844,48.73957,York,276171
Discovery Park Heated Mini-Storage,1470 King Street Bellingham WA 98229-6222,98229-6222,Bellingham,WA,,-122.463727,48.747832,York,276171
Moss Bay Storage,333 5th Place South Kirkland WA 98033-6683,98033-6683,Kirkland,WA,,-122.197797,47.673691,Moss Bay,274599
Moss Bay Storage,333 5th Pl S Kirkland WA 98033,98033,Kirkland,WA,,-122.19778,47.673717,Moss Bay,274599
Iron Gate Storage - Cascade Park,802 Northeast 112th Avenue Vancouver WA 98684-4945,98684-4945,Vancouver,WA,63798,-122.557699,45.627168,Fircrest,273721
Iron Gate Storage - Cascade Park,802 Ne 112th Ave Vancouver WA 98684,98684,Vancouver,WA,65142,-122.558289,45.627171,Fircrest,273721
Iron Gate Storage - Mill Plain,12406 Se 5th St Vancouver WA 98684,98684,Vancouver,WA,65138,-122.544066,45.617544,Fircrest,273721
Highland Hill Self Storage,6312 North 9th Street Tacoma WA 98406-2000,98406-2000,Tacoma,WA,63737,-122.521246,47.257771,West End,272015
Pearl Street Self-Storage,1001 N Pearl Street Tacoma WA 98406-7921,98406-7921,Tacoma,WA,,-122.515899,47.259193,West End,272015
Emerald Services,7343 East Marginal South Seattle WA 98108,98108,Seattle,WA,,-122.317553,47.536894,South Park,251971
Packages Unlimited & Storage,8315 Lake City Way Ne Seattle WA 98115,98115,Seattle,WA,,-122.30899,47.689754,Maple Leaf,344000
Metro Heated Storage Inc,8908 Lake City Way Northeast Seattle WA 98115-3264,98115-3264,Seattle,WA,,-122.305499,47.693073,Maple Leaf,344000
Metro Heated Self Storage,8908 Lake City Way NE Seattle WA 98115,98115,Seattle,WA,,-122.305496,47.693073,Maple Leaf,344000
Northgate Self Storage,10805 Roosevelt Way NE Seattle WA 98125-7309,98125-7309,Seattle,WA,,-122.31786,47.70777,Maple Leaf,344000
A-Economy Storage,104 South Division Street Spokane WA 99202-1562,99202-1562,Spokane,WA,,-117.41129,47.656626,Riverside,275203
Ace 4 Space,1616 West 2nd Avenue Spokane WA 99201-7404,99201-7404,Spokane,WA,,-117.435709,47.6545,Riverside,275203
Parking Center,125 S Stevens Street Spokane WA 99201-3703,99201-3703,Spokane,WA,,-117.419499,47.65607,Riverside,275203
Woodinville Heated Self Storage,14715 NE North Woodinville Way Woodinville WA 98072,98072,Woodinville,WA,,-122.14356,47.764771,West Wellington,275999
Continental Van Lines Inc,2802 Northwest 70th Street Seattle WA 98117-6239,98117-6239,Seattle,WA,,-122.393055,47.6795,Sunset Hill,252056
Market Street Self Storage,2811 Northwest Market Street Seattle WA 98107-4215,98107-4215,Seattle,WA,,-122.393474,47.668699,Sunset Hill,252056
Bob's I-20 Self-Storage,4310 Belair Frontage Road Augusta GA 30909-9668,30909-9668,Augusta,GA,,-82.104532,33.481994,Belair,272907
Wheeler Road Self Storage,3772 Wheeler Road Augusta GA 30909-6565,30909-6565,Augusta,GA,69964,-82.10291,33.485017,Belair,272907
Belair-Dyess Self Storage,1005 Jimmie Dyess Parkway Augusta GA 30909-9108,30909-9108,Augusta,GA,69966,-82.128515,33.472805,Belair,272907
Belair Self-Storage,4388 Ridge Trail Augusta GA 30907-9762,30907-9762,Augusta,GA,,-82.131673,33.485048,Belair,272907
Richmond Self Storage,3455 Wrightsboro Road Augusta GA 30909-2513,30909-2513,Augusta,GA,,-82.080899,33.467269,Belair,272907
Deans Bridge Road Self Storage,3510 Deans Bridge Rd Augusta GA 30901,30901,Augusta,GA,,-82.086715,33.41386,Belair,272907
American Storage Rental Spaces,5116 Wrightsboro Road Grovetown GA 30813-2802,30813-2802,Grovetown,GA,,-82.197147,33.457701,Belair,272907
StoreMore Self Storage,3515 Wrightsboro Rd Augusta GA 30909,30909,Augusta,GA,63587,-82.090062,33.466138,Belair,272907
Five Mile Mini Storage,6617 North Cedar Road Spokane WA 99208-4333,99208-4333,Spokane,WA,,-117.432654,47.718353,Balboasouth Indian Trail,344037
Argonne Self Storage,6320 North Cedar Road Spokane WA 99208-4324,99208-4324,Spokane,WA,,-117.432509,47.71559,Balboasouth Indian Trail,344037
Emerald Services,7343 East Marginal South Seattle WA 98108,98108,Seattle,WA,,-122.317553,47.536894,Beacon Hill,250050
Seattle Mini Self Storage,1100 Poplar Pl S Seattle WA 98144,98144,Seattle,WA,,-122.310897,47.593101,Beacon Hill,250050
Seattle Self Storage,1100 Poplar Place South Seattle WA 98144-2834,98144-2834,Seattle,WA,,-122.310899,47.5931,Beacon Hill,250050
Boone Mini-Storage,3004 E Boone Avenue Spokane WA 99202-3671,99202-3671,Spokane,WA,,-117.366734,47.6691,East Central,271855
Veradale Mini Storage,16712-14 East Sprague Avenue Spokane WA 99202-1602,99202-1602,Spokane,WA,,-117.410496,47.6573,East Central,271855
Devries Storage,601 E Pacific Avenue Spokane WA 99202-2227,99202-2227,Spokane,WA,,-117.402084,47.6556,East Central,271855
Skyway Storage,11840 Renton Avenue South Seattle WA 98178-3722,98178-3722,Seattle,WA,,-122.244275,47.496895,Rainier Beach,251704
Totem Lake West Self Storage,11330 NE 124th St Kirkland WA 98034,98034,Kirkland,WA,,-122.190094,47.7112,Totem Lake,275753
U Store Self Storage,16610 SE 128th Bellevue WA 98004,98004,Bellevue,WA,,-122.16947,47.575211,Factoria,250603
Sanitary Service Company,1001 Roeder Avenue Bellingham WA 98225-2912,98225-2912,Bellingham,WA,,-122.488517,48.754613,Lettered Streets,271902
